source,package,probable_app_name,purpose,transformation,target,status,target_action,alias_action
hyperos3-icons/apps/128/android.png,android,Android,application icon,android -> android,hyperos icons/apps/scalable/android.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/android.png,android,Android,application icon,android -> android,hyperos icons/apps@2x/scalable/android.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ai.obc.cbn.app.png,com.ai.obc.cbn.app,App,application icon,com.ai.obc.cbn.app -> ai-obc-cbn-app,hyperos icons/apps/scalable/ai-obc-cbn-app.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.ai.obc.cbn.app.png,com.ai.obc.cbn.app,App,application icon,com.ai.obc.cbn.app -> ai-obc-cbn-app,hyperos icons/apps@2x/scalable/ai-obc-cbn-app.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.alibaba.android.rimet.png,com.alibaba.android.rimet,Rimet,application icon,com.alibaba.android.rimet -> alibaba-android-rimet,hyperos icons/apps/scalable/alibaba-android-rimet.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.alibaba.android.rimet.png,com.alibaba.android.rimet,Rimet,application icon,com.alibaba.android.rimet -> alibaba-android-rimet,hyperos icons/apps@2x/scalable/alibaba-android-rimet.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.alibaba.wireless.png,com.alibaba.wireless,Wireless,application icon,com.alibaba.wireless -> alibaba-wireless,hyperos icons/apps/scalable/alibaba-wireless.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.alibaba.wireless.png,com.alibaba.wireless,Wireless,application icon,com.alibaba.wireless -> alibaba-wireless,hyperos icons/apps@2x/scalable/alibaba-wireless.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.aliyun.tongyi.png,com.aliyun.tongyi,Tongyi,application icon,com.aliyun.tongyi -> aliyun-tongyi,hyperos icons/apps/scalable/aliyun-tongyi.svg,fallback,exists-skip,alias-exists-skip
hyperos3-icons/apps/128/com.aliyun.tongyi.png,com.aliyun.tongyi,Tongyi,application icon,com.aliyun.tongyi -> aliyun-tongyi,hyperos icons/apps@2x/scalable/aliyun-tongyi.svg,fallback,exists-skip,alias-exists-skip
